id,rating,title,content,author,date,helpful_votes,verified_purchase
r060,4,카페 공부용으로 좋아요,카페 백색소음이 확 줄어서 집중이 잘 됩니다. 옆 테이블 대화는 조금 들리지만요.,카공족,2024-04-11,14,true
r061,5,착용감이 정말 편합니다,귓바퀴에 닿는 부분이 둥글게 처리돼서 두 시간 껴도 아프지 않아요.,장시간착용,2024-04-12,22,true
r062,3,케이스 배터리 표시가 없어요,케이스에 LED가 하나뿐이라 남은 배터리를 정확히 알 수 없습니다. 앱 켜야 확인돼요.,불편러,2024-04-13,11,true
r063,4,지하철에서 음악 들을 만합니다,ANC 덕분에 볼륨을 낮춰도 잘 들려서 귀 건강에도 좋을 것 같아요.,건강챙김,2024-04-14,13,true
r064,1,고객센터 응대가 최악,불량 문의했는데 2주째 연락이 없습니다. 제품보다 서비스가 더 문제네요.,화난고객,2024-04-15,56,true
r065,5,자전거 탈 때 최고,라이딩할 때 써도 바람소리 필터링이 잘 돼서 음악 감상에 지장이 없습니다.,자전거족,2024-04-16,18,true
r066,4,음질 밸런스가 좋아요,저음 중음 고음이 골고루 나와서 어떤 장르든 무난하게 들을 수 있습니다.,올라운더,2024-04-17,16,true
r067,3,방수는 생활방수 수준,땀 정도는 괜찮은데 수영장 근처에서 쓰다가 물 튀니까 살짝 불안하더라구요.,조심스러움,2024-04-18,7,true
r068,5,노캔 성능 기대 이상,아파트 공사 소음이 절반 이하로 줄어듭니다. 재택근무자에게 강력 추천합니다.,공사소음피해자,2024-04-19,37,true
r069,2,페어링 이후 음질 저하,멀티포인트로 노트북 연결하면 음질이 눈에 띄게 나빠집니다. 코덱 문제인 것 같아요.,코덱민감,2024-04-20,19,true
r070,4,가벼워서 좋습니다,한쪽 4g 정도라 귀에 뭘 낀 느낌이 거의 없어요. 무게만큼은 최고입니다.,가벼운게최고,2024-04-21,12,true
r071,5,아이랑 통화할 때도 깨끗해요,아이 목소리도 또렷하게 들리고 제 목소리도 잘 전달된다고 합니다.,워킹맘,2024-04-22,15,true
r072,3,앱이 좀 무겁습니다,전용 앱 실행이 느리고 가끔 튕깁니다. 기능은 많은데 최적화가 아쉬워요.,앱리뷰어,2024-04-23,10,true
r073,4,출퇴근길 필수템,버스랑 지하철 소음이 줄어드니까 출퇴근이 훨씬 덜 피곤합니다.,통근족,2024-04-24,21,true
r074,1,왼쪽 오른쪽 볼륨이 달라요,미세하게 오른쪽이 더 크게 들립니다. 신경 쓰이기 시작하니 못 듣겠어요.,예민보스,2024-04-25,26,true
r075,5,충전 속도가 정말 빠릅니다,케이스째로 30분이면 완충됩니다. 급하게 나갈 때 정말 유용해요.,바쁜직장인,2024-04-26,20,true
r076,4,러닝할 때 고정력 괜찮아요,격한 인터벌 트레이닝만 아니면 잘 버팁니다. 조깅 정도는 전혀 문제없어요.,조깅러,2024-04-27,13,true
r077,3,ANC 켜면 압박감이 있어요,노이즈캔슬링 켜면 귀가 먹먹한 느낌이 듭니다. 사람에 따라 호불호 갈릴 듯.,민감한귀,2024-04-28,17,true
r078,5,영화 볼 때 몰입감 좋아요,공간음향 켜면 극장 느낌까진 아니어도 확실히 넓게 들립니다.,영화광,2024-04-29,24,true
r079,2,케이스 뚜껑이 헐거워졌어요,두 달 쓰니까 뚜껑이 저절로 열립니다. 가방에서 이어폰 빠질까 봐 불안해요.,내구성걱정,2024-04-30,28,true
r080,4,전화 받기 편합니다,터치 한 번으로 받고 끊을 수 있어서 운전할 때 안전하게 통화 가능해요.,운전자,2024-05-01,11,true
r081,5,수업 들을 때 최고입니다,인강 들을 때 강사 목소리가 또렷하게 들려서 집중이 잘 됩니다.,수험생,2024-05-02,19,true
r082,3,보통입니다,딱히 나쁘진 않은데 인터넷 후기만큼 대단하진 않아요. 기대치를 낮추면 만족할 듯.,중립기어,2024-05-03,8,true
r083,4,색상이 예쁩니다,실물이 사진보다 훨씬 고급스러워요. 지문도 잘 안 묻는 재질이라 좋습니다.,색감중시,2024-05-04,9,true
r084,1,사흘 만에 분실했습니다,고정력이 약해서 계단 오르다 한쪽이 빠져 하수구로 들어갔습니다. 제 잘못이지만 좀 헐겁긴 해요.,분실왕,2024-05-05,33,true
r085,5,ANC 최고입니다,버스 엔진 소리가 거의 안 들립니다. 이 가격에 이 정도면 정말 훌륭해요.,버스통근,2024-05-06,29,true
r086,4,배터리 표시가 폰에 떠서 편해요,아이폰이든 안드로이드든 배터리 잔량이 화면에 떠서 관리하기 좋습니다.,관리형,2024-05-07,12,true
r087,3,저음 좋은데 통화는 별로,음악 감상용으로는 만족스럽지만 통화 품질은 딱 평균 수준입니다.,반반,2024-05-08,15,true
r088,5,헬스장 소음 차단 굿,헬스장 쿵쾅거리는 음악을 눌러주고 제 플레이리스트만 들려서 좋습니다.,헬창,2024-05-09,23,true
r089,2,오래 끼면 귀에서 냄새나요,밀폐형이라 그런지 땀이 차고 냄새가 납니다. 자주 닦아줘야 해요.,위생중시,2024-05-10,18,true
r090,4,가성비 좋은 선택,20만원대 제품에 비해 아쉬운 부분이 있긴 한데 가격 차이 생각하면 충분히 만족합니다.,합리주의자,2024-05-11,20,true
r091,5,통화 노이즈 제거 훌륭,공사장 옆에서 통화했는데 상대방이 조용한 데 있냐고 물어봤어요.,현장직,2024-05-12,31,true
r092,3,이어팁 교체하니 나아졌어요,기본 이어팁은 자꾸 빠졌는데 폼팁으로 바꾸니 고정력이랑 저음이 확 좋아졌습니다.,팁교체파,2024-05-13,25,true
r093,4,비행기 소음 잘 잡아줍니다,국내선 정도는 확실히 조용해집니다. 장거리는 안 타봐서 모르겠네요.,국내선탑승객,2024-05-14,14,true
r094,1,연결이 자꾸 끊겨요,사람 많은 지하철에서 블루투스가 뚝뚝 끊깁니다. 간섭에 너무 약한 것 같아요.,끊김지옥,2024-05-15,41,true
r095,5,종합적으로 만족합니다,음질 착용감 배터리 노이즈캔슬링 모두 이 가격대에서는 상위권입니다. 재구매 의사 있어요.,종합평가자,2024-05-16,44,true
r096,4,러닝 시 땀에 강합니다,여름에 매일 뛰는데 땀 때문에 고장 난 적은 한 번도 없습니다.,여름러너,2024-05-17,16,true
r097,3,중저음 위주 튜닝,보컬이 살짝 뒤로 물러난 느낌입니다. 발라드 좋아하시면 아쉬울 수 있어요.,발라드파,2024-05-18,10,true
r098,5,장시간 착용해도 안 아파요,하루 8시간씩 끼는데 귀 통증이 없습니다. 착용감만큼은 최고입니다.,프리랜서,2024-05-19,26,true
r099,2,배터리 편차가 큽니다,왼쪽이 오른쪽보다 훨씬 빨리 닳습니다. 왼쪽 때문에 결국 둘 다 넣어야 해요.,편차불만,2024-05-20,22,true
r100,4,전반적으로 추천합니다,단점이 없진 않지만 가격을 생각하면 충분히 추천할 만한 제품입니다.,무난추천,2024-05-21,19,true
